Age,Gender,Marital_Status,Education,Employment_Status,Years_Employed,Annual_Income,Credit_Score,Loan_Amount,Existing_Debt,Housing_Status,Years_At_Residence,Dependents,Num_Credit_Cards,Previous_Defaults,Debt_To_Income_Ratio,Approval_Status
25,Female,Divorced,Graduate,Salaried,8.3,93700.0,758.0,33104.0,19995.0,Mortgaged,0.0,4,4,0,0.567,Approved
55,Female,Single,High School,Business Owner,1.6,62492.0,745.0,2415.0,5454.0,Mortgaged,0.0,0,5,0,0.126,Approved
50,Male,Married,Graduate,Business Owner,2.0,76648.0,768.0,9078.0,2112.0,Mortgaged,6.1,2,2,0,0.146,Approved
40,Female,Single,Post Graduate,Business Owner,11.1,100032.0,747.0,14919.0,19612.0,Owned,5.3,1,1,0,0.345,Approved
40,Male,Single,Graduate,Business Owner,3.2,47271.0,646.0,4391.0,10061.0,Owned,5.1,3,1,0,0.306,Rejected
59,Female,Married,High School,Salaried,3.8,72980.0,754.0,30543.0,11405.0,Owned,8.2,3,3,1,0.575,Approved
24,Female,Single,Graduate,Salaried,4.7,79766.0,679.0,16667.0,22487.0,Owned,3.9,0,3,0,0.491,Approved
52,Male,Married,Doctorate,Retired,5.1,52754.0,708.0,26115.0,8899.0,Mortgaged,2.9,2,2,1,0.664,Rejected
30,Male,Married,Graduate,Self-Employed,9.4,97352.0,556.0,13962.0,4841.0,Rented,6.4,1,7,0,0.193,Rejected
25,Female,Single,Graduate,Business Owner,0.0,64294.0,792.0,19231.0,,Rented,1.9,4,7,0,0.501,Approved
44,Male,Married,High School,Self-Employed,5.1,51354.0,590.0,3282.0,0.0,Rented,3.3,1,6,0,0.064,Rejected
64,Female,Married,Graduate,Retired,11.8,60039.0,564.0,6026.0,10289.0,Owned,4.8,0,4,0,0.272,Approved
54,Female,Divorced,Post Graduate,Unemployed,16.7,62936.0,578.0,6195.0,9636.0,Mortgaged,5.0,3,7,0,0.252,Rejected
55,Female,Single,Post Graduate,Salaried,0.0,122104.0,638.0,1000.0,6170.0,Rented,3.0,4,1,1,0.059,Approved
53,Male,Widowed,Graduate,Unemployed,7.7,39230.0,876.0,24792.0,8863.0,Rented,2.5,4,5,0,0.858,Approved
56,Female,Divorced,Post Graduate,Salaried,5.0,77660.0,622.0,15424.0,15075.0,Mortgaged,0.6,0,4,1,0.393,Rejected
